date,total,nsw,vic,qld,wa,sa,tas,act,nt
2021-06-06,17,5,8,2,0,2,0,0,0
2021-06-07,19,5,11,0,0,3,0,0,0
2021-06-08,10,3,3,1,0,2,0,0,1
2021-06-09,6,4,1,1,0,0,0,0,0
2021-06-10,16,3,4,8,0,1,0,0,0
2021-06-11,3,1,1,0,0,1,0,0,0
2021-06-12,8,1,4,0,0,3,0,0,0
2021-06-13,11,1,0,8,0,1,0,0,1
2021-06-14,14,6,6,2,0,0,0,0,0
2021-06-15,12,4,3,3,1,1,0,0,0
2021-06-16,17,3,9,0,1,4,0,0,0
2021-06-17,11,3,1,6,0,1,0,0,0
2021-06-18,11,2,2,3,0,3,0,0,1
2021-06-19,10,6,3,0,0,1,0,0,0
2021-06-20,8,5,2,1,0,0,0,0,0
2021-06-21,25,8,9,5,0,3,0,0,0
2021-06-22,10,5,2,3,0,0,0,0,0
2021-06-23,12,10,0,1,0,0,0,0,1
2021-06-24,31,19,4,3,1,4,0,0,0
2021-06-25,13,12,2,2,0,-3,0,0,0
2021-06-26,35,28,3,1,0,2,0,0,1
2021-06-27,42,32,1,3,0,3,0,0,3
2021-06-28,29,22,2,3,1,0,0,0,1
2021-06-29,34,20,2,6,2,2,0,0,2
2021-06-30,48,28,2,4,3,11,0,0,0
2021-07-01,33,28,-1,4,1,0,0,0,1
2021-07-02,42,32,2,5,1,2,0,0,0
2021-07-03,49,40,0,8,0,1,0,0,0
2021-07-04,23,16,1,3,1,2,0,0,0
2021-07-05,46,37,2,6,0,1,0,0,0
2021-07-06,29,18,2,6,3,0,0,0,0
2021-07-07,29,28,0,1,0,0,0,0,0
2021-07-08,44,39,0,3,0,1,0,0,1
2021-07-09,50,45,1,0,0,2,0,0,2
2021-07-10,62,52,3,5,0,2,0,0,0
2021-07-11,86,82,0,1,2,1,0,0,0
2021-07-12,121,116,0,1,1,2,0,0,1
2021-07-13,99,93,3,3,0,0,0,0,0
2021-07-14,108,99,2,5,0,2,0,0,0
2021-07-15,85,67,10,5,0,2,0,0,1
2021-07-16,116,98,10,1,0,6,0,0,1
2021-07-17,139,117,20,1,1,0,0,0,0
2021-07-18,127,109,18,0,0,0,0,0,0
2021-07-19,119,100,13,2,1,3,0,0,0
2021-07-20,112,79,16,5,8,4,0,0,0
2021-07-21,140,112,23,0,2,3,0,0,0
2021-07-22,158,124,28,0,0,6,0,0,0
2021-07-23,155,135,14,2,0,4,0,0,0
2021-07-24,173,159,12,0,0,1,0,0,1
2021-07-25,162,141,11,7,0,3,0,0,0
2021-07-26,164,150,12,0,0,2,0,0,0
2021-07-27,187,175,10,0,2,0,0,0,0
2021-07-28,205,176,8,20,1,0,0,0,0
2021-07-29,259,238,7,1,6,2,0,0,5
2021-07-30,177,172,3,2,0,0,0,0,0
2021-07-31,220,211,2,7,0,0,0,0,0
2021-08-01,255,239,4,9,0,3,0,0,0
2021-08-02,227,207,2,15,1,1,0,0,1
2021-08-03,222,201,5,16,0,0,0,0,0
2021-08-04,254,232,0,19,0,3,0,0,0
2021-08-05,297,262,7,27,1,0,0,0,0
2021-08-06,304,286,6,10,0,0,1,0,1
2021-08-07,357,315,29,13,0,0,0,0,0
2021-08-08,285,261,13,9,0,2,0,0,0
2021-08-09,300,284,11,5,0,0,0,0,0
2021-08-10,379,356,20,3,0,0,0,0,0
2021-08-11,363,345,15,3,0,0,0,0,0
2021-08-12,382,343,27,11,0,0,0,0,0
2021-08-13,411,384,15,8,0,0,0,1,0
2021-08-14,493,463,21,7,0,0,0,4,0
2021-08-15,438,411,25,0,0,0,0,2,0
2021-08-16,519,475,22,0,2,0,0,2,1
2021-08-17,482,438,25,2,0,0,0,19,0
2021-08-18,677,627,23,4,1,0,0,17,0
2021-08-19,748,674,57,0,0,1,0,22,0
2021-08-20,706,636,57,1,1,0,0,16,0
2021-08-21,891,820,61,2,0,0,0,11,0
2021-08-22,909,824,66,0,0,0,0,8,0
2021-08-23,894,803,71,2,1,1,0,19,0
2021-08-24,832,745,51,6,0,0,0,16,0
2021-08-25,978,910,41,-2,20,0,0,30,0
2021-08-26,1112,1016,79,2,0,0,0,9,1
2021-08-27,975,875,78,1,0,0,0,14,0
2021-08-28,1122,1026,63,4,2,1,0,21,0
2021-08-29,1306,1213,92,1,,,,26,
